OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327023"",""SFOP0006681"")",20.PMWRA.Niger.PSSM.NOFO,DOS-PMWRA,Bureau of Political-Military Affairs - WRA,1500000,1,Macy Johnson,,,,,05/12/2020,06/15/2020,05/12/2020 16:38:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327013"",""SFOP0006927"")",DRL FY19 Countering Corruption amid COVID-19,DOS-DRL,Bureau of Democracy Human Rights and Labor,1000000,1,DRL-GP-EAP@state.gov,,,,,05/12/2020,06/12/2020,05/12/2020 09:19:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326996"",""SFOP0006930"")",Regional Harmonization to PVE in Coastal West Africa,DOS-AF,Bureau of African Affairs,,0,CasparKA@state.gov; ShoreyMA@state.gov,,,,,05/12/2020,07/10/2020,05/12/2020 09:56:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327018"",""W81XWH-20-KCRP-TRPA"")","DoD Kidney Cancer, Translational Research Partnership Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,3600000,3,"CDMRP Help Desk
Phone: 301-682-5507
Help@eBRAP.org",,Help@eBRAP.org,,,05/12/2020,08/26/2020,05/12/2020 14:54:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327019"",""W81XWH-20-KCRP-AKCIECIA"")","DoD Kidney Cancer, Academy of Kidney Cancer Investigators – Early-Career Investigator Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,4640000,4,"CDMRP Help Desk
Phone: 301-682-5507
Email: Help@eBRAP.org",,Help@eBRAP.org,,,05/12/2020,08/26/2020,05/12/2020 15:28:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327016"",""W81XWH-20-KCRP-CA"")","DoD Kidney Cancer,  Concept Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,960000,6,"CDMRP Help Desk
Phone: 301-682-5570
Help@eBRAP.org",,Help@eBRAP.org,,,05/12/2020,08/05/2020,05/12/2020 14:34:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327015"",""PA-20-202"")",Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 14:13:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327000"",""PA-20-201"")",Mentored Clinical Scientist Research Career Development Award (Parent K08 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 13:59:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327001"",""RFA-DA-21-019"")","Single Cell Opioid Responses in the Context of HIV (SCORCH) Program Expansion:  CNS Data Generation for Chronic Opioid, Methamphetamine, and/or Cocaine Exposures (U01 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,07/20/2020,05/12/2020 14:05:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327017"",""PA-20-203"")",Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 14:22:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324246"",""HRSA-20-109"")",Rural Communities Opioid Response Program – Planning,HHS-HRSA,Health Resources and Services Administration,10000000,50,"Department of Health and Human Services, Health Resources and Services Administration
sodonnell@hrsa.gov",,sodonnell@hrsa.gov,,,05/12/2020,07/13/2020,05/12/2020 16:22:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327020"",""RFA-NS-20-030"")",Research Program Award (R35 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,07/31/2020,05/12/2020 15:39:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326994"",""20-574"")",Centers for Chemical Innovation,NSF,National Science Foundation,9400000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/12/2020,01/14/2021,05/12/2020 01:00:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326982"",""2021-04"")",Emerging Markets Program Notice of Funding Opportunity,USDA-FAS-GP-10603,Emerging Markets Program 10.603,8000000,20,"Eric Bozoian
Grants Management Specialist
Phone 2023781054",,eric.bozoian@fas.usda.gov,,,05/12/2020,06/26/2020,05/14/2020 15:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326981"",""2021-05"")",Quality Samples Program Notice of Funding Opportunity,USDA-FAS-GP-10605,Quality Samples Program 10.605,2500000,20,"Eric Bozoian
Grants Management Specialist
Phone 2023781054",,eric.bozoian@fas.usda.gov,,,05/12/2020,06/26/2020,05/14/2020 15:03:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326993"",""2021-03"")",Technical Assistance for Specialty Crops Program Notice of Funding Opportunity,USDA-FAS-GP-10604,Technical Assistance for Specialty Crops 10.604,9000000,20,"Eric Bozoian
Grants Management Specialist
Phone 2023781054",,eric.bozoian@fas.usda.gov,,,05/12/2020,06/26/2020,05/14/2020 14:58:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326995"",""HHS-2020-ACF-OHS-YT-1851"")",Tribal Colleges and Universities Head Start Partnership Program Grants,HHS-ACF-OHS,Administration for Children and Families - OHS,4000000,8,Jennifer Amaya Thompson,(202) 690-6484,Jennifer.Amaya-Thompson@acf.hhs.gov,06/03/2020,07/03/2020,05/12/2020,,05/12/2020 06:45:12,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327022"",""W9126G-21-2-FOA-2021"")",Youth Conservation Service Cooperative Agreement,DOD-COE-FW,Fort Worth District,,1,"Sandra K Justman
Grantor
Phone 8178861073",,sandra.justman@usace.army.mil,,,05/12/2020,07/12/2020,05/12/2020 16:42:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327002"",""CDC-RFA-GH20-2102"")",Tanzania Presidents Office Regional Administration and Local Government (PORALG) Building Capacity for the Sub-national Implementation of the National Action Plan for Health Security (NAPHS),HHS-CDC-CGH,Centers for Disease Control - CGH,2000000,1,"Herbert Kimble 
cwz2@cdc.gov",,cwz2@cdc.gov,,,05/12/2020,07/07/2020,05/12/2020 15:54:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327024"",""FG-20-007"")",COVID-19 ERSP,HHS-SAMHS-SAMHSA,Substance Abuse and Mental Health Services Adminis,40000000,50,"Corey Sullivan
Office of Financial Resources, Division of Grants Management
Substance Abuse and Mental Health Services Administration 
(240) 276-1213",,FOACMHS@samhsa.hhs.gov,,,05/12/2020,05/22/2020,05/13/2020 10:45:13,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326964"",""L20AS00083"")",Montana/Dakotas Rangeland Resource Management,DOI-BLM,Bureau of Land Management,250000,3,"Grants Management Officer Brittney Linford (406) 896-5188
blinford@blm.gov",,blinford@blm.gov,,,05/11/2020,07/09/2020,05/12/2020 10:59:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326979"",""CDC-RFA-GH20-2123"")","Improving Public Health Globally: Strengthening Public Health Impact , Systems, Capacity, and Security in Sierra Leone",HHS-CDC-CGH,Centers for Disease Control - CGH,5000000,1,"Herbert Kimble
cwz2@cdc.gov",,cwz2@cdc.gov,,,05/11/2020,07/13/2020,05/12/2020 13:29:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326980"",""L20AS00095"")",Montana/Dakotas Fisheries and Aquatic Resource Management,DOI-BLM,Bureau of Land Management,200000,3,"Grants Management Officer Brittney Linford (406) 896-5188
blinford@blm.gov",,blinford@blm.gov,,,05/11/2020,07/09/2020,05/12/2020 11:06:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326962"",""SFOP0006738"")",Building Tolerance in Education Systems in Uganda,DOS-CSO,Bureau of Conflict Stabilization Operations,,1,Chris Kennedy,,,,,05/11/2020,06/02/2020,05/12/2020 10:41:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326961"",""USDA-NRCS-NHQ-CCFWR-20-NOFO0001018"")",Community Compost and Food Waste Reduction (CCFWR) Project,USDA-NRCS,Natural Resources Conservation Service,900000,20,"Michele Devaney
Grants Management Specialist",,michele.devaney@usda.gov,,,05/11/2020,06/26/2020,05/11/2020 12:10:11,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326960"",""ED-GRANTS-051120-003"")",Office of Postsecondary Education (OPE): Coordinating Center for Transition Programs for Students with Intellectual Disabilities into Higher Education—(TPSID-CC) CFDA 84.407B,ED,Department of Education,2000000,1,"Shedita Alston, U.S. Department of Education, 400 Maryland Avenue, SW, room 260-24, Washington, DC 20202-4260.  
Telephone:  (202) 453-7090.  
Email:  Shedita.Alston@ed.gov.",,Shedita.Alston@ed.gov,,,05/11/2020,07/10/2020,05/11/2020 09:48:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326957"",""ED-GRANTS-051120-001"")",Office of Elementary and Secondary Education (OESE): Well-Rounded Education through Student-Centered Funding Demonstration Grants CFDA 84.424E,ED,Department of Education,3000000,4,"Denise Joseph, U.S. Department of Education, 400 Maryland Avenue SW, Room 3W105, Washington, DC 20202-5970. Telephone: (202) 453-6702. 
Email: WeightedFundingPilot@ed.gov.",,WeightedFundingPilot@ed.gov,,,05/11/2020,07/10/2020,05/11/2020 08:31:11,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326959"",""ED-GRANTS-051120-002"")",Office of Postsecondary Education (OPE): Transition Programs for Students with Intellectual Disabilities into Higher Education (TPSID) CFDA 84.407A,ED,Department of Education,9700000,25,"Shedita Alston, U.S. Department of Education, 400 Maryland Avenue SW, Room 260-24, Washington, DC 20202-4260. Telephone: (202) 453-7090. Email: Shedita.Alston@ed.gov.",,Shedita.Alston@ed.gov.,,,05/11/2020,07/10/2020,05/11/2020 09:19:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324229"",""HRSA-20-105"")",Rural HIV/AIDS Planning Program,HHS-HRSA,Health Resources and Services Administration,1000000,10,"Department of Health and Human Services, Health Resources and Services Administration
JCausey@hrsa.gov",,JCausey@hrsa.gov,,,05/11/2020,07/10/2020,05/11/2020 17:07:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326965"",""NCD-20-03"")",Making Sufficient Oral Healthcare for People with I/DD a Cost-Effective Reality: Examining the Medicaid Reimbursement Rate,NCD,National Council on Disability,100000,1,"Amged Soliman
Grantor
Phone 202-272-2116",,asoliman@ncd.gov,,,05/11/2020,06/18/2020,05/11/2020 23:57:11,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327014"",""PA-20-205"")",Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/11/2020,05/07/2023,05/12/2020 11:03:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326999"",""PA-20-204"")",Mentored Patient-Oriented Research Career Development Award (Parent K23 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/11/2020,05/07/2023,05/12/2020 11:10:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326974"",""DOS-KAZ-NS-AEECA-003"")",Design and Implementation of a Blended Massive Open Online Course (MOOC) on Media Literacy,DOS-KAZ,U.S. Mission to Kazakhstan,60000,10,"Assem Bekimova
+7 705 7492351
RELO-Nur-Sultan@Stat.egov",,RELO-Nur-Sultan@Stat.egov,,,05/11/2020,06/17/2020,05/11/2020 06:20:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326954"",""ND-NOFO-20-113"")",Nexus Start-Up Hub 2.0,DOS-IND,U.S. Mission to India,1000000,1,"Grant Applications Manager, 
U.S. Embassy, New Delhi",,ND_GrantApplications@state.gov,,,05/11/2020,07/31/2020,05/11/2020 00:24:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326976"",""ONDCP-DRUGCOURT-2020"")",Drug Court and Technical Training Grant,ONDCP,Office of National Drug Control Policy ,,1,"Jayme Delano
ONDCP",,jdelano@ondcp.eop.gov,,,05/11/2020,07/13/2020,05/11/2020 11:16:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326973"",""DOS-CPT-RSOI-202003"")",Study in the United States Advising Network for South Africa,DOS-ZAF,U.S. Mission to South Africa,250000,1,PAS Cape Town,,capetowngrants@state.gov,,,05/11/2020,06/11/2020,05/11/2020 01:04:11,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326963"",""NPS-20-REG1-0006"")",Implement Chesapeake Gateways Network Projects in Annapolis,DOI-NPS,National Park Service,0,1,"Mary Raczko
Grants Management Specialist
Phone 617-913-1105",,mary_raczko@nps.gov,,,05/11/2020,05/21/2020,05/11/2020 11:50:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326921"",""INL20GR0034-CRIMINALJUSMOLDOVA-05082020"")",Supporting Criminal Justice Reform and Strengthening Anticorruption Efforts in Moldova,DOS-INL,Bureau of International Narcotics-Law Enforcement,,,"Najar Washington
Grants Management Specialist
Phone 202-736-9147",,washingtonnd@state.gov,,,05/08/2020,07/03/2020,05/08/2020 12:20:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326919"",""S-NEA-PPD-20-CA001"")",NEA/PPD Middle East Media Initiative (MEMI),DOS-NEA-PPD,Press and Public Diplomacy,,100,"U.S. DEPARTMENT OF STATE
Bureau of Near Eastern Affairs 
Office of Press and Public Diplomacy",,NEA-PPD-MEMI-GRANTS@state.gov,,,05/08/2020,06/22/2020,05/08/2020 12:21:08,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326928"",""W81XWH-20-PCRP-PCPRNA"")","DoD Prostate Cancer, Prostate Cancer Pathology Resource Network Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,9600000,1,"CDMRP Helpdesk
Phone 301-682-5507
Help@eBRAP.org",,Help@eBRAP.org,,,05/08/2020,09/24/2020,05/08/2020 17:24:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326929"",""W81EWF-20-SOI-0020"")","Genotyping to Identify Pallid Sturgeon Broodstock, Reproduction, and Recruitment",DOD-COE,Dept. of the Army  --  Corps of Engineers,350000,1,"Chelsea M Whitten
Grants Officer
Phone 601-634-4679",,chelsea.m.whitten@usace.army.mil,,,05/08/2020,06/29/2020,05/08/2020 17:24:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326917"",""CDC-RFA-GH15-15430501SUPP20"")","Enhancing Strategic Information Capacity for HIV/AIDS Programs in Kenya through Surveillance and Epidemiology, Monitoring and Evaluation and Mobile Health Solutions under the U.S. President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-CGH,Centers for Disease Control - CGH,450000,1,"Emily Dale
dln6@cdc.gov",,dln6@cdc.gov,,,05/08/2020,06/08/2020,05/08/2020 09:10:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326916"",""CDC-RFA-GH15-15060501SUPP20"")",VOLUNTARY MEDICAL MALE CIRCUMCISION AS PART OF THE NATIONAL PROGRAM AND COMBINATION PREVENTION PROJECT IN BOTSWANA,HHS-CDC-CGH,Centers for Disease Control - CGH,4600000,1,"Erin Sexton
WUS0@cdc.gov",,WUS0@cdc.gov,,,05/08/2020,07/07/2020,05/08/2020 06:37:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326942"",""INLBOG-05082020-LEP-BPA"")",“Colombian National Police-Basic Police Academy Curriculum Assessment”,DOS-COL,U.S. Mission to Columbia,500000,1,"Julie E Heumphreus
Grantor
Phone 57-1-275-4134",,heumphreusj@state.gov,,,05/08/2020,07/07/2020,05/08/2020 16:06:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326934"",""INL20CA0035-COURTMGT-CROATIA-050820"")",Efficient and Transparent Court Management in Croatia,DOS-INL,Bureau of International Narcotics-Law Enforcement,,1,"Najar Washington
Grants Management Specialist
Phone 202-736-9147",,washingtonnd@state.gov,,,05/08/2020,07/03/2020,05/08/2020 13:15:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326940"",""INLBOG-05082020-LEPHR"")",Colombian National Police Human Resources Assessment,DOS-COL,U.S. Mission to Columbia,500000,1,"Julie E Heumphreus
Grantor",,heumphreusj@state.gov,,,05/08/2020,07/07/2020,05/08/2020 15:44:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321992"",""HHS-2020-ACF-OCS-ET-1825"")",Community Services Block Grant (CSBG) Legal Training and Technical Assistance (T/TA) Center,HHS-ACF-OCS,Administration for Children and Families - OCS,300000,1,"ACF Applications Help Desk
app_support@acf.hhs.gov",,app_support@acf.hhs.gov,,,05/08/2020,07/07/2020,05/08/2020 16:23:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326936"",""L20AS00099"")","BLM WY State of Wyoming, Abandoned Mine Land Coordination  AML",DOI-BLM,Bureau of Land Management,2500000,1,"GMO Leona Parker (530) 252-5338
lparker@blm.gov",,lparker@blm.gov,,,05/08/2020,05/29/2020,05/08/2020 14:05:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326920"",""FR-CRS-20-002"")",FY18-20 Special Transportation Circumstances Projects,DOT-FRA,DOT - Federal Railroad Administration,23108458,5,"GrantSolutions Help Desk Phone Number: 1.866.577.0771 or 202.401.5282 Hours of operation are Monday-Friday from 9:00 a.m. to 6:00 p.m. ET
help@grantsolutions.gov",,help@grantsolutions.gov,,,05/08/2020,07/07/2020,05/08/2020 11:52:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326937"",""PD-REM-20-001"")",Rural Emergency Medical Communications Demonstration Project,DHS-OPO,Office of Procurement Operations - Grants Division,,,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov",,support@grants.gov,,,05/08/2020,06/24/2020,05/08/2020 14:38:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326938"",""INLBOG-05082020-LEP"")",Colombian National Police Plan Cuadrante Police Service Model Assessment,DOS-COL,U.S. Mission to Columbia,500000,2,"Julie E Heumphreus
Grantor",,heumphreusj@state.gov,,,05/08/2020,07/07/2020,05/08/2020 14:56:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326923"",""PA-20-207"")",NIH Support for Conferences and Scientific Meetings (Parent R13 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/08/2020,05/07/2023,05/08/2020 12:26:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326935"",""PAS-UKRAINE-2020-012"")",Strengthening U.S.-Ukraine Business Relations while Addressing Social Issues through “Serious Game Jam”,DOS-UKR,U.S. Mission to Ukraine,100000,1,Kyiv Public Diplomacy Grants Committee,,KyivPDGrants@state.gov,,,05/08/2020,06/15/2020,05/08/2020 12:40:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326925"",""PA-20-208"")",Substance Use/Substance Use Disorder Dissertation Research Award (R36 - Clinical Trials Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/08/2020,05/07/2023,05/08/2020 13:25:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326933"",""CAG-ML-FY20"")",IMLS CARES Act Grants for Museums and Libraries,IMLS,Institute of Museum and Library Services,13800000,90,"Christopher J. Reich
Chief Administrator, Office of Museum Services
creich@imls.gov
202-653-4685

Anthony D. Smith
Associate Deputy Director, Office of Library Services
asmith@imls.gov
202-653-4716
creich@imls.gov",,creich@imls.gov,,,05/08/2020,06/12/2020,05/08/2020 11:57:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326922"",""CAG-NANH-FY20"")",IMLS CARES Act Grants for Native American/Native Hawaiian Museum and Library Services,IMLS,Institute of Museum and Library Services,1200000,50,"Christopher J. Reich
Chief Administrator, Office of Museum Services
creich@imls.gov
202-653-4685

Anthony D. Smith
Associate Deputy Director, Office of Library Services
asmith@imls.gov
202-653-4716
asmith@imls.gov",,asmith@imls.gov,,,05/08/2020,06/12/2020,05/08/2020 12:16:08,Synopsis 1,
